"drug","is_combination","n_components","boustani_score","boustani_max","iacb_score","iacb_max","b_found","i_found","b_unresolved","i_unresolved","b_syn","i_syn","boustani_status","iacb_status","on_both"
"acetaminophen; butalbital",TRUE,2,0,0,0,0,0,0,2,2,FALSE,FALSE,"d. combination, no component on list (scores 0)","d. combination, no component on list (scores 0)",FALSE
"acetaminophen; butalbital; caffeine",TRUE,3,0,0,1,1,0,1,3,2,FALSE,FALSE,"d. combination, no component on list (scores 0)","c. combination, partly on list",FALSE
"acetaminophen; butalbital; caffeine; codeine",TRUE,4,1,1,1,1,1,1,3,3,FALSE,FALSE,"c. combination, partly on list","c. combination, partly on list",TRUE
"acetaminophen; caffeine; isometheptene mucate",TRUE,3,0,0,1,1,0,1,3,2,FALSE,FALSE,"d. combination, no component on list (scores 0)","c. combination, partly on list",FALSE
"acetaminophen; codeine",TRUE,2,1,1,0,0,1,0,1,2,FALSE,FALSE,"c. combination, partly on list","d. combination, no component on list (scores 0)",FALSE
"acetaminophen; hydrocodone",TRUE,2,0,0,0,0,1,0,1,2,FALSE,FALSE,"c. combination, partly on list","d. combination, no component on list (scores 0)",FALSE
"acetaminophen; oxycodone",TRUE,2,0,0,2,2,1,1,1,1,FALSE,FALSE,"c. combination, partly on list","c. combination, partly on list",TRUE
"acetaminophen; pseudoephedrine",TRUE,2,0,0,1,1,1,1,1,1,FALSE,FALSE,"c. combination, partly on list","c. combination, partly on list",TRUE
"acetaminophen; tramadol",TRUE,2,0,0,2,2,1,1,1,1,FALSE,FALSE,"c. combination, partly on list","c. combination, partly on list",TRUE
"adapalene; benzoyl peroxide topical",TRUE,2,0,0,0,0,0,0,2,2,FALSE,FALSE,"d. combination, no component on list (scores 0)","d. combination, no component on list (scores 0)",FALSE
"albuterol; ipratropium",TRUE,2,0,0,1,1,1,2,1,0,FALSE,TRUE,"c. combination, partly on list","c. combination, all components on list",TRUE
"alendronate; cholecalciferol",TRUE,2,0,0,0,0,0,0,2,2,FALSE,FALSE,"d. combination, no component on list (scores 0)","d. combination, no component on list (scores 0)",FALSE
"aliskiren; hydrochlorothiazide",TRUE,2,0,0,0,0,0,0,2,2,FALSE,FALSE,"d. combination, no component on list (scores 0)","d. combination, no component on list (scores 0)",FALSE
"alogliptin; pioglitazone",TRUE,2,0,0,0,0,1,0,1,2,FALSE,FALSE,"c. combination, partly on list","d. combination, no component on list (scores 0)",FALSE
"amiloride; hydrochlorothiazide",TRUE,2,0,0,0,0,0,0,2,2,FALSE,FALSE,"d. combination, no component on list (scores 0)","d. combination, no component on list (scores 0)",FALSE
"amlodipine; atorvastatin",TRUE,2,0,0,0,0,1,0,1,2,FALSE,FALSE,"c. combination, partly on list","d. combination, no component on list (scores 0)",FALSE
"amlodipine; benazepril",TRUE,2,0,0,1,1,2,1,0,1,FALSE,FALSE,"c. combination, all components on list","c. combination, partly on list",TRUE
"amlodipine; hydrochlorothiazide; olmesartan",TRUE,3,0,0,1,1,1,1,2,2,FALSE,FALSE,"c. combination, partly on list","c. combination, partly on list",TRUE
"amlodipine; hydrochlorothiazide; valsartan",TRUE,3,0,0,1,1,1,1,2,2,FALSE,FALSE,"c. combination, partly on list","c. combination, partly on list",TRUE
"amlodipine; olmesartan",TRUE,2,0,0,1,1,1,1,1,1,FALSE,FALSE,"c. combination, partly on list","c. combination, partly on list",TRUE
"amlodipine; valsartan",TRUE,2,0,0,1,1,1,1,1,1,FALSE,FALSE,"c. combination, partly on list","c. combination, partly on list",TRUE
"amoxicillin; clavulanate",TRUE,2,0,0,0,0,1,1,1,1,FALSE,FALSE,"c. combination, partly on list","c. combination, partly on list",TRUE
"amphetamine; dextroamphetamine",TRUE,2,0,0,0,0,0,0,2,2,FALSE,FALSE,"d. combination, no component on list (scores 0)","d. combination, no component on list (scores 0)",FALSE
"antipyrine; benzocaine otic",TRUE,2,0,0,0,0,0,0,2,2,FALSE,FALSE,"d. combination, no component on list (scores 0)","d. combination, no component on list (scores 0)",FALSE
"aspirin; butalbital; caffeine",TRUE,3,0,0,1,1,1,1,2,2,FALSE,FALSE,"c. combination, partly on list","c. combination, partly on list",TRUE
"aspirin; dipyridamole",TRUE,2,1,1,1,1,2,1,0,1,FALSE,FALSE,"c. combination, all components on list","c. combination, partly on list",TRUE
"atenolol; chlorthalidone",TRUE,2,1,1,1,1,1,1,1,1,FALSE,FALSE,"c. combination, partly on list","c. combination, partly on list",TRUE
"atropine; diphenoxylate",TRUE,2,3,3,4,4,2,2,0,0,FALSE,FALSE,"c. combination, all components on list","c. combination, all components on list",TRUE
"atropine; hyoscyamine; phenobarbital; scopolamine",TRUE,4,6,3,12,4,4,3,0,1,FALSE,FALSE,"c. combination, all components on list","c. combination, partly on list",TRUE
"azelastine; fluticasone nasal",TRUE,2,0,0,0,0,0,0,2,2,FALSE,FALSE,"d. combination, no component on list (scores 0)","d. combination, no component on list (scores 0)",FALSE
"bacitracin; hydrocortisone; neomycin; polymyxin b topical",TRUE,4,1,1,2,2,2,1,2,3,FALSE,FALSE,"c. combination, partly on list","c. combination, partly on list",TRUE
"benazepril; hydrochlorothiazide",TRUE,2,0,0,1,1,1,1,1,1,FALSE,FALSE,"c. combination, partly on list","c. combination, partly on list",TRUE
"benzoyl peroxide; clindamycin topical",TRUE,2,0,0,0,0,0,0,2,2,FALSE,FALSE,"d. combination, no component on list (scores 0)","d. combination, no component on list (scores 0)",FALSE
"betamethasone; clotrimazole topical",TRUE,2,0,0,0,0,0,0,2,2,FALSE,FALSE,"d. combination, no component on list (scores 0)","d. combination, no component on list (scores 0)",FALSE
"bisoprolol; hydrochlorothiazide",TRUE,2,0,0,0,0,0,1,2,1,FALSE,FALSE,"d. combination, no component on list (scores 0)","c. combination, partly on list",FALSE
"brimonidine; brinzolamide ophthalmic",TRUE,2,0,0,0,0,0,0,2,2,FALSE,FALSE,"d. combination, no component on list (scores 0)","d. combination, no component on list (scores 0)",FALSE
"brimonidine; timolol ophthalmic",TRUE,2,0,0,0,0,0,0,2,2,FALSE,FALSE,"d. combination, no component on list (scores 0)","d. combination, no component on list (scores 0)",FALSE
"brompheniramine; dextromethorphan; pseudoephedrine",TRUE,3,3,3,6,4,3,3,0,0,FALSE,FALSE,"c. combination, all components on list","c. combination, all components on list",TRUE
"brompheniramine; pseudoephedrine",TRUE,2,3,3,5,4,2,2,0,0,FALSE,FALSE,"c. combination, all components on list","c. combination, all components on list",TRUE
"budesonide; formoterol",TRUE,2,0,0,0,0,1,0,1,2,FALSE,FALSE,"c. combination, partly on list","d. combination, no component on list (scores 0)",FALSE
"buprenorphine; naloxone",TRUE,2,0,0,2,2,1,1,1,1,FALSE,FALSE,"c. combination, partly on list","c. combination, partly on list",TRUE
"captopril; hydrochlorothiazide",TRUE,2,1,1,1,1,1,1,1,1,FALSE,FALSE,"c. combination, partly on list","c. combination, partly on list",TRUE
"carbetapentane; chlorpheniramine",TRUE,2,0,0,4,4,0,1,2,1,FALSE,FALSE,"d. combination, no component on list (scores 0)","c. combination, partly on list",FALSE
"carbidopa; entacapone; levodopa",TRUE,3,0,0,0,0,3,3,0,0,FALSE,FALSE,"c. combination, all components on list","c. combination, all components on list",TRUE
"carbidopa; levodopa",TRUE,2,0,0,0,0,2,2,0,0,FALSE,FALSE,"c. combination, all components on list","c. combination, all components on list",TRUE
"cetirizine; pseudoephedrine",TRUE,2,1,1,5,4,2,2,0,0,FALSE,FALSE,"c. combination, all components on list","c. combination, all components on list",TRUE
"chlordiazepoxide; clidinium",TRUE,2,1,1,0,0,2,0,0,2,FALSE,FALSE,"c. combination, all components on list","d. combination, no component on list (scores 0)",FALSE
"chlorpheniramine; dextromethorphan; pseudoephedrine",TRUE,3,0,0,6,4,2,3,1,0,FALSE,FALSE,"c. combination, partly on list","c. combination, all components on list",TRUE
"chlorpheniramine; hydrocodone",TRUE,2,0,0,4,4,1,1,1,1,FALSE,FALSE,"c. combination, partly on list","c. combination, partly on list",TRUE
"ciprofloxacin; dexamethasone otic",TRUE,2,0,0,0,0,0,0,2,2,FALSE,FALSE,"d. combination, no component on list (scores 0)","d. combination, no component on list (scores 0)",FALSE
"ciprofloxacin; hydrocortisone otic",TRUE,2,0,0,0,0,0,0,2,2,FALSE,FALSE,"d. combination, no component on list (scores 0)","d. combination, no component on list (scores 0)",FALSE
"clindamycin; tretinoin topical",TRUE,2,0,0,0,0,1,0,1,2,FALSE,FALSE,"c. combination, partly on list","d. combination, no component on list (scores 0)",FALSE
"codeine; guaifenesin",TRUE,2,1,1,1,1,2,1,0,1,FALSE,FALSE,"c. combination, all components on list","c. combination, partly on list",TRUE
"codeine; phenylephrine; promethazine",TRUE,3,4,3,4,4,3,1,0,2,FALSE,FALSE,"c. combination, all components on list","c. combination, partly on list",TRUE
"conjugated estrogens; medroxyprogesterone",TRUE,2,0,0,0,0,0,0,2,2,FALSE,FALSE,"d. combination, no component on list (scores 0)","d. combination, no component on list (scores 0)",FALSE
"desloratadine; pseudoephedrine",TRUE,2,1,1,5,4,2,2,0,0,FALSE,FALSE,"c. combination, all components on list","c. combination, all components on list",TRUE
"desogestrel; ethinyl estradiol",TRUE,2,0,0,0,0,0,0,2,2,FALSE,FALSE,"d. combination, no component on list (scores 0)","d. combination, no component on list (scores 0)",FALSE
"dexamethasone; neomycin; polymyxin b ophthalmic",TRUE,3,0,0,2,2,2,1,1,2,FALSE,FALSE,"c. combination, partly on list","c. combination, partly on list",TRUE
"dexamethasone; tobramycin ophthalmic",TRUE,2,0,0,2,2,1,1,1,1,FALSE,FALSE,"c. combination, partly on list","c. combination, partly on list",TRUE
"dextromethorphan; guaifenesin; phenylephrine",TRUE,3,0,0,2,1,3,2,0,1,FALSE,FALSE,"c. combination, all components on list","c. combination, partly on list",TRUE
"dextromethorphan; promethazine",TRUE,2,3,3,5,4,2,2,0,0,FALSE,FALSE,"c. combination, all components on list","c. combination, all components on list",TRUE
"dextromethorphan; pseudoephedrine",TRUE,2,0,0,2,1,2,2,0,0,FALSE,FALSE,"c. combination, all components on list","c. combination, all components on list",TRUE
"diphenhydramine; pseudoephedrine",TRUE,2,3,3,5,4,2,2,0,0,FALSE,FALSE,"c. combination, all components on list","c. combination, all components on list",TRUE
"dorzolamide; timolol ophthalmic",TRUE,2,0,0,0,0,0,0,2,2,FALSE,FALSE,"d. combination, no component on list (scores 0)","d. combination, no component on list (scores 0)",FALSE
"drospirenone; ethinyl estradiol",TRUE,2,0,0,0,0,0,0,2,2,FALSE,FALSE,"d. combination, no component on list (scores 0)","d. combination, no component on list (scores 0)",FALSE
"drospirenone; ethinyl estradiol; levomefolate",TRUE,3,0,0,0,0,0,0,3,3,FALSE,FALSE,"d. combination, no component on list (scores 0)","d. combination, no component on list (scores 0)",FALSE
"dutasteride; tamsulosin",TRUE,2,0,0,0,0,0,0,2,2,FALSE,FALSE,"d. combination, no component on list (scores 0)","d. combination, no component on list (scores 0)",FALSE
"efavirenz; emtricitabine; tenofovir",TRUE,3,0,0,0,0,0,0,3,3,FALSE,FALSE,"d. combination, no component on list (scores 0)","d. combination, no component on list (scores 0)",FALSE
"emtricitabine; rilpivirine; tenofovir",TRUE,3,0,0,0,0,0,0,3,3,FALSE,FALSE,"d. combination, no component on list (scores 0)","d. combination, no component on list (scores 0)",FALSE
"emtricitabine; tenofovir",TRUE,2,0,0,0,0,0,0,2,2,FALSE,FALSE,"d. combination, no component on list (scores 0)","d. combination, no component on list (scores 0)",FALSE
"enalapril; hydrochlorothiazide",TRUE,2,0,0,0,0,0,0,2,2,FALSE,FALSE,"d. combination, no component on list (scores 0)","d. combination, no component on list (scores 0)",FALSE
"esterified estrogens; methyltestosterone",TRUE,2,0,0,0,0,0,1,2,1,FALSE,FALSE,"d. combination, no component on list (scores 0)","c. combination, partly on list",FALSE
"estradiol; norethindrone",TRUE,2,0,0,0,0,0,1,2,1,FALSE,FALSE,"d. combination, no component on list (scores 0)","c. combination, partly on list",FALSE
"estradiol; norgestimate",TRUE,2,0,0,0,0,0,1,2,1,FALSE,FALSE,"d. combination, no component on list (scores 0)","c. combination, partly on list",FALSE
"ethinyl estradiol; ethynodiol",TRUE,2,0,0,0,0,0,0,2,2,FALSE,FALSE,"d. combination, no component on list (scores 0)","d. combination, no component on list (scores 0)",FALSE
"ethinyl estradiol; etonogestrel",TRUE,2,0,0,0,0,0,0,2,2,FALSE,FALSE,"d. combination, no component on list (scores 0)","d. combination, no component on list (scores 0)",FALSE
"ethinyl estradiol; levonorgestrel",TRUE,2,0,0,0,0,0,0,2,2,FALSE,FALSE,"d. combination, no component on list (scores 0)","d. combination, no component on list (scores 0)",FALSE
"ethinyl estradiol; norelgestromin",TRUE,2,0,0,0,0,0,0,2,2,FALSE,FALSE,"d. combination, no component on list (scores 0)","d. combination, no component on list (scores 0)",FALSE
"ethinyl estradiol; norethindrone",TRUE,2,0,0,0,0,0,0,2,2,FALSE,FALSE,"d. combination, no component on list (scores 0)","d. combination, no component on list (scores 0)",FALSE
